t,x,v,a,phi,phi_v,phi_a
2.86,0.2559754171234915,0.2471364807659648,0.1392507341679547,3.1996927140436426,3.0892060095745606,1.7406341770994427
2.87,0.25846070968171747,0.24852925582260046,0.1393023679775826,3.2307588710214676,3.106615697782506,1.7412795997197694
2.88,0.2609599349629726,0.24992252812551646,0.13935018274241345,3.261999187037157,3.124031601568956,1.7418772842801467
2.89,0.2634730975577471,0.25131625947744873,0.13939417715159164,3.2934137194718383,3.141453243468109,1.7424272143948816
2.9,0.2660002016744326,0.2527104116685483,0.13943434999899307,3.325002520930407,3.1588801458568536,1.7429293749874342
2.91,0.2685412511392069,0.2541049464774286,0.1394707001832557,3.356765639240085,3.1763118309678577,1.7433837522907059
2.92,0.271096249395929,0.2554998256722134,0.13950322670782112,3.388703117449112,3.1937478209026677,1.7437903338477723
2.93,0.2736651995060449,0.256895011011585,0.13953192868094988,3.42081499382556,3.211187637644813,1.7441491085118832
2.94,0.2762481041485032,0.2582904642458324,0.1395568053157742,3.453101301856289,3.2286308030729054,1.7444600664471732
2.95,0.2788449656196822,0.2596861471179005,0.13957785593028682,3.4855620702460266,3.2460768389737567,1.744723199128595
2.96,0.2814557858333266,0.26108202136443814,0.13959507994736609,3.5181973229165813,3.2635252670554773,1.7449384993420747
2.97,0.28408056632049505,0.2624780487168478,0.1396084768948147,3.551007079006187,3.280975608960598,1.7451059611851782
2.98,0.2867193082295184,0.26387419090233444,0.1396180464053487,3.583991352868979,3.298427386279181,1.7452255800668448
2.99,0.28937201232596793,0.2652704096449548,0.13962378821660848,3.617150154074598,3.315880120561935,1.7452973527076088
3.0,0.29203867899263464,0.2666666666666666,0.1396257021711922,3.6504834874079313,3.333333333333333,1.7453212771399107
3.0100000000000002,0.2947193082295184,0.26806292368837864,0.13962378821661403,3.683991352868979,3.3507865461047333,1.7452973527076532
3.02,0.2974138996538284,0.2694591424309989,0.13961804640534314,3.717673745672854,3.368239280387486,1.7452255800668004
3.0300000000000002,0.30012245249999325,0.2708552846164855,0.13960847689481193,3.751530656249915,3.3856910577060693,1.745105961185156
3.04,0.3028449656196822,0.2722513119688951,0.13959507994736886,3.7855620702460264,3.403141399611189,1.7449384993420969
